,AMGN,AZN,BIIB,DXCM,GEHC,GILD,IDXX,ISRG,REGN,VRTX
2023-11-01,,,,,,,-0.0015413788142783192,,,
2023-11-06,,,,,,,,,,0.010833522930750034
2023-11-08,,,0.017052965669196583,,,,,,,
2023-11-07,,,,,,0.014454373540440702,,,,
2023-11-09,,0.01177671781100517,,,,,,,,
2023-10-19,,,,,,,,0.01420069230611528,,
2023-10-26,,,,0.02160875755063924,,,,,,
2024-02-06,0.019938794896006584,,,,0.027555810287594795,0.026583315804600716,,,,
2024-02-02,,,,,,,,,0.028394047170877457,
2024-02-05,,,,,,,0.015729058533906937,,,0.019160369411110878
2024-02-13,,,0.025676636025309563,,,,,,,
2024-02-08,,0.026583315804600716,,0.02704421803355217,,,,,,
2024-01-23,,,,,,,,0.030643660575151443,,
2024-05-02,0.02680274471640587,,,,,,,,0.03404507786035538,
2024-05-01,,,,,,,0.009412218816578388,,,
2024-05-06,,,,,,,,,,0.02243879623711109
2024-04-24,,,0.026748426258563995,,,,,,,
2024-04-25,,0.02680274471640587,,0.02680274471640587,,0.02181944064795971,,,,
2024-04-30,,,,,0.02680274471640587,,,,,
2024-04-18,,,,,,,,0.013790328055620193,,
2024-08-06,0.004637856328428917,,,,,,0.015407408390962345,,,
2024-08-01,,,0.028566965165055937,,,,,,0.028479802170298614,0.003057616375408225
2024-08-08,,,,,,0.028255439927826406,,,,
2024-07-25,,0.02127984489591591,,0.025365447976195617,,,,,,
2024-07-31,,,,,0.030728661673710037,,,,,
2024-07-18,,,,,,,,0.02342902993548742,,
2024-10-30,0.00490965678623974,,0.030434545393128957,,0.02147232093765973,,,,,
2024-10-31,,,,,,,0.011177994708653025,,0.027217327484275446,
2024-11-04,,,,,,,,,,0.005942063980325589
2024-11-06,,,,,,0.014690360134338458,,,,
2024-11-12,,0.012849995593987902,,,,,,,,
2024-10-17,,,,,,,,0.0016262608300163788,,
2024-10-24,,,,0.027478857645692835,,,,,,
2025-02-04,0.009408486607889323,,,,,,,,0.032402274993348794,
2025-02-03,,,,,,,0.017977261755916827,,,
2025-02-10,,,,,,,,,,0.009622799578037395
2025-02-12,,,0.022914890643254502,,,,,,,
2025-02-11,,,,,,0.017594097826722853,,,,
2025-02-06,,0.016736955745830045,,,,,,,,
2025-02-13,,,,0.028964604223213515,0.03544388621508917,,,,,
2025-01-23,,,,,,,,0.018480477769879378,,
2025-05-01,0.015587052551870772,,0.02397596366331047,0.03308547654864192,,,0.018798417269706467,,,
2025-04-29,,0.023216530861845833,,,,,,,0.030041178491045803,
2025-05-05,,,,,,,,,,0.0162426626328867
2025-04-24,,,,,,0.022430632853572746,,,,
2025-04-30,,,,,0.032413376881781614,,,,,
2025-04-22,,,,,,,,0.02889681871688434,,
2025-08-05,0.024079525843262672,,,,,,,,,
2025-08-01,,,,,,,,,0.014268141239881516,
2025-08-04,,,,,,,0.02482309751212597,,,0.024079525843262672
2025-07-31,,,0.02810387685894966,,,,,,,
2025-08-07,,,,,,0.024079525843262672,,,,
2025-07-29,,0.024079525843262672,,,,,,,,
2025-07-30,,,,0.024079525843262672,0.024959241971373558,,,,,
2025-07-22,,,,,,,,0.035812199115753174,,
2025-11-04,0.02827426432379162,,,,,,,,,
2025-10-28,,,,,,,,,0.028644487651503476,
2025-11-03,,,,,,,0.023661828809288517,,,0.019214163287563868
2025-10-30,,,0.02787676078386682,0.027598427385797545,,0.020073214515627772,,,,
2025-11-06,,0.020239566331979857,,,,,,,,
2025-10-29,,,,,0.027184032606327038,,,,,
2025-10-21,,,,,,,,0.02271976357766308,,
2026-02-03,0.017356744661615235,,,,,,,,,
2026-01-30,,,,,,,,,0.014675279803887865,
2026-02-02,,,,,,,0.014751847051824047,,,
2026-02-12,,,,0.024501759687871827,,,,,,0.01048720476652364
2026-02-06,,,0.023367853436613132,,,,,,,
2026-02-10,,,,,,0.01838466816182705,,,,
2026-02-04,,,,,0.01975203802863067,,,,,
2026-01-22,,,,,,,,0.014675279803887865,,
