,AMGN,AZN,BIIB,DXCM,GEHC,GILD,IDXX,ISRG,REGN,VRTX
2023-11-01,,,,,,,-0.0015413788142783192,,,
2023-11-06,,,,,,,,,,0.010833522930750034
2023-11-08,,,0.017052965669196583,,,,,,,
2023-11-07,,,,,,0.014454373540440702,,,,
2023-11-09,,0.01177671781100517,,,,,,,,
2023-10-19,,,,,,,,0.01420069230611528,,
2023-10-26,,,,0.02160875755063924,,,,,,
2024-02-06,-0.005936373139626103,,,,0.034068683874479866,0.010674448345313677,,,,
2024-02-02,,,,,,,,,0.031716455222304846,
2024-02-05,,,,,,,-0.013678753484541346,,,-0.00413460598610952
2024-02-13,,,0.021648294475967417,,,,,,,
2024-02-08,,0.015094871644082193,,0.027555566314478044,,,,,,
2024-01-23,,,,,,,,0.020651662118296846,,
2024-05-02,0.01533759452223813,,,,,,,,0.026933120533962466,
2024-05-01,,,,,,,0.014903403038786822,,,
2024-05-06,,,,,,,,,,0.005793331082439216
2024-04-24,,,0.037972951401414885,,,,,,,
2024-04-25,,0.02567691305888864,,0.01811174971074038,,0.02328522174033409,,,,
2024-04-30,,,,,0.03651257166007697,,,,,
2024-04-18,,,,,,,,0.018761923209382254,,
2024-08-06,0.004637856328428917,,,,,,0.015407408390962345,,,
2024-08-01,,,0.028566965165055937,,,,,,0.028479802170298614,0.003057616375408225
2024-08-08,,,,,,0.028255439927826406,,,,
2024-07-25,,0.02127984489591591,,0.025365447976195617,,,,,,
2024-07-31,,,,,0.030728661673710037,,,,,
2024-07-18,,,,,,,,0.02342902993548742,,
2024-10-30,0.00490965678623974,,0.030434545393128957,,0.02147232093765973,,,,,
2024-10-31,,,,,,,0.011177994708653025,,0.027217327484275446,
2024-11-04,,,,,,,,,,0.005942063980325589
2024-11-06,,,,,,0.014690360134338458,,,,
2024-11-12,,0.012849995593987902,,,,,,,,
2024-10-17,,,,,,,,0.0016262608300163788,,
2024-10-24,,,,0.027478857645692835,,,,,,
2025-02-04,0.009408486607889323,,,,,,,,0.032402274993348794,
2025-02-03,,,,,,,0.017977261755916827,,,
2025-02-10,,,,,,,,,,0.009622799578037395
2025-02-12,,,0.022914890643254502,,,,,,,
2025-02-11,,,,,,0.017594097826722853,,,,
2025-02-06,,0.016736955745830045,,,,,,,,
2025-02-13,,,,0.028964604223213515,0.03544388621508917,,,,,
2025-01-23,,,,,,,,0.018480477769879378,,
2025-05-01,0.015587052551870772,,0.02397596366331047,0.03308547654864192,,,0.018798417269706467,,,
2025-04-29,,0.023216530861845833,,,,,,,0.030041178491045803,
2025-05-05,,,,,,,,,,0.0162426626328867
2025-04-24,,,,,,0.022430632853572746,,,,
2025-04-30,,,,,0.032413376881781614,,,,,
2025-04-22,,,,,,,,0.02889681871688434,,
2025-08-05,0.010041251723518137,,,,,,,,,
2025-08-01,,,,,,,,,0.048747382992181724,
2025-08-04,,,,,,,0.009492116314857541,,,0.0023625470364704764
2025-07-31,,,0.026429127743945124,,,,,,,
2025-08-07,,,,,,0.004155610819053154,,,,
2025-07-29,,0.018500618526542775,,,,,,,,
2025-07-30,,,,0.03221877535379995,0.03336789426208448,,,,,
2025-07-22,,,,,,,,0.017219591310254658,,
2025-11-04,0.017462963207107843,,,,,,,,,
2025-10-28,,,,,,,,,0.03857460439881984,
2025-11-03,,,,,,,0.004078008188319607,,,0.017214803367293984
2025-10-30,,,0.02495851510514856,0.03285367200378198,,0.013002171710373732,,,,
2025-11-06,,0.01885224064890735,,,,,,,,
2025-10-29,,,,,0.033406520945894566,,,,,
2025-10-21,,,,,,,,0.02939813371540241,,
2026-02-03,-0.015719977515310433,,,,,,,,,
2026-01-30,,,,,,,,,0.025432738425023804,
2026-02-02,,,,,,,-0.010349987447810126,,,
2026-02-12,,,,0.021977620201363023,,,,,,-0.008837660472995322
2026-02-06,,,0.012591057052901604,,,,,,,
2026-02-10,,,,,,-0.0033688734671710446,,,,
2026-02-04,,,,,0.02649555320958138,,,,,
2026-01-22,,,,,,,,0.025936641863778684,,
